Ecole_BID,Chaires
B00604318,"ESSEC Chaires et Filières,,,"
B00675854,",,,"
B00604347,"Chaire Media & Entertainement,,,"
B00695980,"Filière conseil en stratégie,,,"
B00604398,"Chaire Com. & Strat. de marque,,,"
B00604401,"ESSEC Chaires et Filières,,,"
B00692438,",,,"
B00659619,"Chaire Int. Marketing Sportif,,,"
B00604464,"Chaire Media & Entertainement,,,"
B00604483,"Filière Agri Food,,,"
B00692572,"Chaire Digital Disruption,,,"
B00570484,",,,"
B00724663,",,,"
B00604151,"Filière Agri Food,,,"
B00483279,"Fil Business Analytics Methods,,,"
B00604541,"ESSEC Chaires et Filières,,,"
B00604558,"ESSEC Chaires et Filières,,,"
B00528923,"ESSEC Chaires et Filières,,,"
B00685004,",,,"
B00660072,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,,"
B00678534,",,,"
B00713883,"Chaire ESSEC Santé,Chair Therapeutic Innovation,,"
B00678081,",,,"
B00677521,",,,"
B00691511,"Chaire LVMH,,,"
B00679128,",,,"
B00604667,"Chaire Media & Entertainement,,,"
B00604670,"Chaire Immob. Dévt. durable,,,"
B00587778,"Filière Sport Business,,,"
B00477025,",,,"
B00604704,"Ch Mgmt Savoir-Faire Exception,,,"
B00684505,",,,"
B00677602,"Chaire Media & Entertainement,,,"
B00659844,"Chaire Media & Entertainement,,,"
B00753531,"Chair Therapeutic Innovation,,,"
B00461099,",,,"
B00677643,"ESSEC Chaires et Filières,,,"
B00529154,"Chaire Immob. Dévt. durable,ESSEC Chaires et Filières,Filière Immobilier-RICS,"
B00604828,"Filière Entrepreneuriat,,,"
B00673480,",,,"
